time 1.C,time 2.C,time 3.C,time 4.C,time 5.C,time 6.C,time 1.T,time 2.T,time 3.T,time 4.T,time 5.T,time 6.T
0.107,0.223,0.412,0.471,0.601,0.65,0.073,0.167,0.3,0.428,0.445,NA
0.097,0.214,0.34,0.294,0.304,0.345,0.109,0.23,0.352,0.254,0.245,0.305
0.04,0.1,0.214,0.401,0.582,0.729,0.052,0.133,0.269,0.473,0.611,0.737
0.045,0.121,0.28,0.288,0.265,0.25,0.061,0.091,0.219,0.224,0.214,0.198
0.029,0.119,0.277,0.319,0.173,0.294,0.034,0.146,0.292,0.299,0.168,0.164
0.085,0.214,0.325,0.316,0.234,0.303,0.065,0.178,0.291,0.325,0.281,NA
0.082,0.181,0.349,0.522,0.678,0.670,0.15,0.26,0.470,0.497,0.617,0.680
0.051,0.138,0.26,0.353,0.225,0.245,0.06,0.14,0.26,0.377,0.298,0.272
0.039,0.104,0.206,0.324,0.351,0.365,0.08,0.2,0.354,0.496,0.482,0.52
0.025,0.182,0.287,0.478,0.33,0.439,0.068,0.061,0.131,0.31,0.287,0.232
0.121,0.231,0.432,0.513,0.638,0.678,0.082,0.183,0.331,0.499,0.592,0.639
0.053,0.213,0.317,0.296,0.319,0.381,0.003,0.072,0.138,0.239,0.348,0.384
0.022,0.067,0.176,0.344,0.531,0.735,0.050,0.123,0.256,0.413,0.44,0.586
0.136,0.263,0.487,0.615,0.696,0.711,0.132,0.26,0.419,0.501,0.583,0.616
0.054,0.131,0.257,0.368,0.293,0.289,0.062,0.138,0.268,0.388,0.285,0.336
0.092,0.2,0.376,0.502,0.588,0.609,0.081,0.179,0.343,0.487,0.518,0.725
0.095,0.234,0.391,0.333,0.369,0.412,0.152,0.302,0.341,0.528,0.438,0.437
0.05,0.12,0.313,0.429,0.407,0.431,0.76,0.188,0.395,0.494,0.386,0.369
0.022,0.091,0.182,0.302,0.268,0.271,0.054,0.178,0.269,0.322,0.27,0.327
0.027,0.079,0.171,0.352,0.533,0.645,0.07,0.181,0.327,0.501,0.556,0.653
0.122,0.236,0.421,0.518,0.646,0.677,0.114,0.227,0.374,0.426,0.461,0.593
0.039,0.109,0.23,0.39,0.392,0.46,0.049,0.104,0.21,0.295,0.343,0.34
0.104,0.216,0.419,0.541,0.692,0.719,0.086,0.137,0.237,0.362,0.538,0.73
0.072,0.116,0.316,0.529,0.635,0.726,0.052,0.118,0.221,0.355,0.512,0.514
0.091,0.211,0.415,0.528,0.695,0.727,0.015,0.019,0.03,0.047,0.05,0.062
0.041,0.137,0.259,0.475,0.589,0.699,0.034,0.094,0.216,0.407,0.547,0.615
0.066,0.198,0.308,0.601,0.619,0.644,0.033,0.071,0.119,0.173,0.239,0.309
0.054,0.182,0.305,0.381,0.256,0.319,0.052,0.157,0.285,0.371,0.361,0.402
0.025,0.117,0.213,0.269,0.255,0.24,0.047,0.189,0.319,0.302,0.300,0.351
0.064,0.163,0.288,0.382,0.325,0.34,0.063,0.148,0.286,0.396,0.258,0.193
0.045,0.133,0.261,0.432,0.502,0.601,0.073,0.16,0.282,0.383,0.427,0.475
0.097,0.218,0.427,0.546,0.656,0.738,0.095,0.226,0.432,0.552,0.667,0.717
0.107,0.229,0.339,0.302,0.27,0.349,0.062,0.181,0.308,0.396,0.249,0.341
0.157,0.301,0.51,0.628,0.718,0.743,0.092,0.18,0.319,0.498,0.532,0.546
0.059,0.150,0.297,0.519,0.622,0.725,0.078,0.181,0.361,0.539,0.689,0.738
0.131,0.262,0.331,0.28,0.376,0.419,0.078,0.172,0.264,0.293,0.301,0.244
0.057,0.114,0.229,0.324,0.219,0.204,0.07,0.142,0.246,0.343,0.292,0.181
0.045,0.127,0.259,0.391,0.372,0.368,0.075,0.194,0.354,0.486,0.545,0.541
0.069,0.175,0.345,NA,0.668,0.744,0.094,0.188,0.296,0.409,0.395,0.451
0.128,0.258,0.495,0.615,0.701,0.749,0.084,0.196,0.357,0.5,0.546,0.573
0.053,0.144,0.271,0.484,0.579,0.699,0.035,0.085,0.196,0.371,0.525,0.649
0.047,0.143,0.269,0.326,0.242,0.232,-0.014,-0.002,0,-0.001,-0.002,-0.002
0.046,0.095,0.206,0.429,0.39,0.377,0.063,0.127,0.236,0.419,0.41,0.385
0.048,0.159,0.291,0.273,0.21,0.293,0.025,0.087,0.186,0.239,0.232,0.209
0.088,0.205,0.332,0.326,0.334,0.402,0.101,0.227,0.37,0.356,0.415,0.475
0.073,0.17,0.308,0.517,0.618,0.739,0.083,0.192,0.337,0.529,0.602,0.704
0.044,0.113,0.257,0.461,0.625,0.689,0.028,0.119,0.281,0.368,0.214,0.233
0.042,0.119,0.209,0.313,0.270,0.485,0.081,0.201,0.391,0.554,0.648,0.705
0.143,0.26,0.467,0.532,0.656,0.702,0.056,0.124,0.214,0.274,0.297,0.285
0.086,0.193,0.333,0.505,0.601,0.684,0.141,0.25,0.371,0.392,0.393,0.467
0.101,0.242,0.375,0.334,0.402,0.46,0.087,0.205,0.324,0.386,0.354,0.273
0.050,0.109,0.220,0.325,0.273,0.275,0.060,0.164,0.283,0.367,0.249,0.309
0.047,0.138,0.288,0.343,0.226,0.304,0.04,0.096,0.236,0.344,0.251,0.286
0.054,0.131,0.248,0.353,0.297,0.52,0.055,0.113,0.248,0.31,0.383,0.347
0.032,0.112,0.228,0.341,0.252,0.276,0.060,0.179,0.306,0.409,0.31,0.385
0.063,0.164,0.317,0.433,0.687,NA,0.057,0.126,0.254,0.53,0.542,NA
0.11,0.224,0.36,0.316,0.433,0.485,0.102,0.203,0.294,0.283,0.183,0.145
0.086,0.196,0.377,0.535,0.595,0.702,0.093,0.199,0.368,0.422,0.448,0.568
0.097,0.209,0.382,0.584,0.699,0.772,0.137,0.28,0.54,0.598,0.665,0.712
0.149,0.303,0.606,0.65,0.758,0.78,0.064,0.136,0.225,0.328,0.477,0.732
0.076,0.175,0.333,0.516,0.642,0.706,0.046,0.109,0.236,0.317,0.269,0.264
0.044,0.111,0.246,0.335,0.237,0.243,0.068,0.153,0.263,0.403,0.502,0.51
0.095,0.197,0.386,0.489,0.564,0.634,0.198,0.319,0.493,0.583,0.71,0.728
0.176,0.283,0.44,0.564,0.675,0.737,0.057,0.141,0.255,0.412,0.508,0.577
0.053,0.13,0.27,0.487,0.588,0.732,0.046,0.092,0.237,0.439,0.625,NA
0.059,0.154,0.353,0.565,0.719,NA,0.115,0.232,0.374,0.502,0.556,0.642
0.175,0.358,0.562,0.716,0.751,0.784,0.074,0.183,0.346,0.544,0.695,NA
0.052,0.134,0.277,0.509,0.657,NA,0.031,0.072,0.157,0.224,0.246,0.273
0.054,0.144,0.26,0.385,0.43,0.451,0.049,0.108,0.213,0.372,0.514,NA
0.04,0.105,0.247,0.501,0.659,NA,0.023,0.092,0.147,0.211,0.221,0.523
0.048,0.146,0.27,0.311,0.194,0.213,0.076,0.193,0.335,0..341,0.268,0.324
0.053,0.166,0.277,0.352,0.284,0.305,0.061,0.153,0.293,0.387,0.285,0.745
0.05,0.157,0.282,0.353,0.686,0.877,0.114,0.247,0.454,0.577,0.703,0.761
0.107,0.238,0.44,0.543,0.665,0.749,0.033,0.056,0.136,0.267,0.237,NA
0.048,0.141,0.277,0.357,0.461,NA,0.093,0.203,0.408,0.409,0.293,0.317
0.177,0.336,0.567,0.583,0.645,0.631,0.044,0.073,0.171,0.263,0.278,0.205
0.042,0.102,0.22,0.322,0.287,0.213,0.058,0.116,0.192,0.311,0.450,0.387
0.027,0.068,0.124,0.255,0.462,0.526,0.118,0.25,0.401,0.432,0.473,0.513
0.068,0.175,0.305,0.354,0.355,0.292,0.115,0.236,0.404,0.568,0.671,0.732
-0.008,-0.008,-0.009,-0.009,-0.006,-0.01,0.177,0.319,0.53,0.583,0.717,0.748
0.117,0.245,0.404,0.568,0.671,0.732,0.050,0.109,0.216,0.357,0.515,0.53
0.098,0.222,0.388,0.6,0.715,0.745,0.02,0.037,0.079,0.161,0.21,0.245
0.070,0.180,0.338,0.559,0.680,0.756,0.039,0.059,0.148,0.315,NA,NA
0.053,0.127,0.252,0.37,0.247,0.293,0.063,0.138,0.364,0.44,0.695,0.522
0.047,0.122,0.318,0.467,0.65,0.739,0.066,0.175,0.293,0.417,0.390,0.446
0.063,0.153,0.277,0.398,0.379,0.462,0.078,0.082,0.099,0.131,0.193,0.228
0.135,0.276,0.531,0.669,0.702,0.727,0.065,0.169,0.295,0.461,0.532,0.494
0.086,0.205,0.353,0.554,0.676,0.757,0.057,0.125,0.217,0.339,0.402,0.381
0.045,0.130,0.254,0.469,0.576,0.732,0.061,0.091,0.219,0.224,0.214,0.198
