year,birdid,date,time,latitude,longitude
2014,3501,5/11/2014,15:57:53,29.0497731,-90.9260981
2014,3501,5/11/2014,16:00:06,29.0497506,-90.9260779
2014,3501,5/11/2014,16:20:06,29.0503801,-90.9277104
2014,3501,5/11/2014,16:30:07,29.0502102,-90.927094
2014,3501,5/11/2014,16:45:07,29.0500435,-90.9266566
2014,3501,5/11/2014,17:00:07,29.0508752,-90.9254889
2014,3501,5/11/2014,17:15:07,29.0508337,-90.9256091
2014,3501,5/11/2014,17:30:07,29.0505919,-90.9261925
2014,3501,5/11/2014,17:40:07,29.050586,-90.9262042
2014,3501,5/11/2014,18:00:08,29.0505848,-90.9262253
2014,3501,5/11/2014,19:00:23,29.0505965,-90.9262324
2014,3501,5/11/2014,20:00:06,29.0508719,-90.9258358
2014,3501,5/11/2014,21:00:12,29.0508493,-90.9258274
2014,3501,5/11/2014,22:00:41,29.0508616,-90.9257764
2014,3501,5/11/2014,23:00:23,29.0508443,-90.9258399
2014,3501,5/12/2014,0:00:07,29.0508733,-90.9258457
2014,3501,5/12/2014,1:00:07,29.0508363,-90.9257467
2014,3501,5/12/2014,9:00:23,29.0508121,-90.9257237
2014,3501,5/12/2014,10:00:07,29.0508006,-90.9257212
2014,3501,5/12/2014,11:00:07,29.0506487,-90.925753
2014,3501,5/12/2014,12:00:23,29.0506,-90.925826
2014,3501,5/12/2014,13:00:23,29.0506015,-90.9257348
2014,3501,5/12/2014,14:00:06,29.0505806,-90.9257535
2014,3501,5/12/2014,15:00:07,29.0505952,-90.9262001
2014,3501,5/12/2014,16:00:07,29.0505682,-90.9262598
2014,3501,5/12/2014,17:00:41,29.0505951,-90.9262129
2014,3501,5/12/2014,18:00:24,29.0506752,-90.9263383
2014,3501,5/12/2014,19:00:17,29.0509345,-90.9264553
2014,3501,5/12/2014,20:00:23,29.0506095,-90.9262263
2014,3501,5/12/2014,21:00:07,29.0505944,-90.9262241
2014,3501,5/12/2014,22:00:10,29.050573,-90.9262101
2014,3501,5/12/2014,23:00:17,29.0505889,-90.9261305
2014,3501,5/12/2014,23:20:23,29.0506549,-90.9259021
2014,3501,5/12/2014,23:30:07,29.0506296,-90.9258818
2014,3501,5/12/2014,23:40:06,29.0506272,-90.9258823
2014,3501,5/13/2014,0:00:07,29.0506299,-90.9258882
2014,3501,5/13/2014,1:00:08,29.0506318,-90.9258383
2014,3501,5/13/2014,9:00:23,29.0505318,-90.9253915
2014,3501,5/13/2014,10:00:12,29.0505771,-90.925343
