male.sp,treename,hs.female.sp,treename.HS,site,n.conspecific.trials,n.heterospecific.trials,comparison,note,diff.photographic.lightness,overlap.photo.lightness,prop.hs.misidentified.as.focal.by.dfa.PHOTO1,prop.hs.misidentified.as.focal.by.dfa.PHOTO2,diff.weighted.spec.lightness,prop.hs.misidentified.as.focal.by.dfa.SPEC,propclasp.hs,propclasp.cs,isolation.index
americana,H_americana,vulnerata,H_vulnerata,BC,18,18,12,,24.9332,0.8010265,0.05,0.2,6707.620149,0.2631579,0.777777778,0.833333333,0.034482759
vulnerata,H_vulnerata,americana,H_americana,BC,18,18,12,,24.9332,0.8010265,0,0.2,6707.620149,0.1363636,0.833333333,0.555555556,-0.2
titia,H_titia,americana,H_americana,BF,15,15,11,americana females from SJ01; spec data for americana females come from CV,115.7515,0.4289245,0,0,83678.63285,0,0.066666667,0.933333333,0.866666667
cruentata,H_cruentata,occisa,H_occisa,CT,17,17,13,,25.1421,0.6580451,0.08,0.16,3906.096208,0.04166667,0.529411765,0.764705882,0.181818182
occisa,H_occisa,cruentata,H_cruentata,CT,20,20,13,,25.1421,0.6580451,0.2105263,0.3157895,3906.096208,0.3333333,0.7,0.7,0
americana,H_americana,titia,H_titia,CV,24,24,1,,246.1795,0.1750312,0.04,0.08,132662.83,0.04,0.416666667,0.833333333,0.333333333
titia,H_titia,americana,H_americana,CV,22,22,1,,246.1795,0.1750312,0,0,132662.83,0,0.045454545,0.863636364,0.9
occisa,H_occisa,sempronia,H_sempronia,ES,20,20,14,,21.2301,0.7761249,0.12,0.44,18133.43575,0.2857143,0.7,0.65,-0.037037037
occisa,H_occisa,titia,H_titia,ES,20,8,9,spec measurements for titia from PA2,427.3633,0,0,0,203647.9202,0,0,0.65,1
sempronia,H_sempronia,occisa,H_occisa,ES,10,10,14,,21.2301,0.7761249,0.02777778,0.1666667,18133.43575,0.03703704,0.4,0.7,0.272727273
miniata,H_miniata,titia,H_titia,ESRB,18,18,5,,72.3835,0.5112327,0.2413793,0.2068966,39352.97996,0.15,0.777777778,0.5,-0.217391304
titia,H_titia,miniata,H_miniata,ESRB,33,33,5,,72.3835,0.5112327,0,0.06896552,39352.97996,0.1052632,0.484848485,0.787878788,0.238095238
fuscoguttata,H_fuscoguttata,occisa,H_occisa,GO01,27,23,8,,1.2047,0.9158466,0.01470588,0.2058824,22846.52987,0.1363636,0.217391304,0.814814815,0.578783151
fuscoguttata,H_fuscoguttata,titia,H_titia,GO01,27,22,7,,44.679,0.5994185,0,0.1846154,36879.90844,0,0.318181818,0.814814815,0.43833581
