,site,fem.sp,treename,basal.hw.weighted_mean,basal.hw.weighted_sd,distal.hw.weighted_mean,distal.hw.weighted_sd,basal.fw.weighted_mean,basal.fw.weighted_sd,distal.fw.weighted_mean,distal.fw.weighted_sd,both.weighted_mean,both.weighted_sd,n.photos,tot.int.basal.hw_mean,tot.int.basal.hw_sd,tot.int.mid.hw_mean,tot.int.mid.hw_sd,tot.int.tip.hw_mean,tot.int.tip.hw_sd,tot.int.basal.fw_mean,tot.int.basal.fw_sd,tot.int.mid.fw_mean,tot.int.mid.fw_sd,tot.int.tip.fw_mean,tot.int.tip.fw_sd,int.weighted_mean,int.weighted_sd,n.scans
1,BC,am,H_americana,189.239684,10.94680505,214.2577724,9.078757025,191.5220216,10.48930852,213.4623864,7.578263978,808.4818643,34.14096968,25,5043.467801,620.5382584,11974.68731,1139.013082,8323.960626,1020.161656,4867.772016,642.3150429,12873.1556,806.6273619,9321.881116,1015.560445,225004.6898,14018.24411,22
2,BC,vul,H_vulnerata,201.6395155,11.08351783,216.0487839,7.664515817,200.4807021,11.91903572,215.2460631,10.56159174,833.4150645,38.93644227,20,4882.486259,696.1235835,11747.84529,774.2493581,6713.63544,1177.948077,5575.327657,953.8246706,12436.09437,1074.476966,7511.122111,1151.655292,218297.0696,13421.05805,19
3,BF,am,H_americana,155.078689,21.81923294,204.6635902,11.4081111,160.2901433,19.19719172,214.7752204,14.81914669,734.807643,55.16803147,13,3071.68741,692.428076,10813.07715,1103.553865,4934.223401,1186.816897,2362.511215,744.0132167,12343.10232,1053.167414,7064.366709,1134.508114,202008.1624,17170.08877,22
4,BF,tit,H_titia,156.8564216,21.46009359,123.3428785,30.37995094,150.9859538,25.92065475,187.870799,15.96220206,619.0560529,88.35146769,25,4520.113072,1364.63202,5345.944214,2113.395967,2120.753261,1229.423798,3957.373776,1029.82954,7294.253182,2021.630156,6885.15403,1794.466447,118329.5672,34529.50361,25
5,CT,cru,H_cruentata,191.0440251,12.21036062,211.1296973,14.0931561,197.3136631,11.21649752,215.7953792,14.89785318,815.2827647,48.89982537,19,5009.501468,460.0271191,12369.39775,931.3141634,8862.15687,1869.804649,5343.220035,1056.293734,13215.19333,811.3650764,11380.19101,786.624883,235271.7979,14417.68131,6
6,CT,oc,H_occisa,188.7424251,14.1045648,200.1051976,13.49435679,193.1890148,14.92812837,208.1040184,13.74718831,790.1406559,51.77601212,25,5554.687407,711.4204611,12149.7218,1240.937437,8981.020224,1238.27049,5745.163043,515.9862941,12894.73082,1347.0877,10729.21014,1245.604867,231365.7017,21092.92741,24
7,CV,am,H_americana,152.780745,23.19067512,201.4842398,10.30338962,159.2690256,19.40769712,202.8218808,13.6374208,716.3558912,54.60057026,25,3071.68741,692.428076,10813.07715,1103.553865,4934.223401,1186.816897,2362.511215,744.0132167,12343.10232,1053.167414,7064.366709,1134.508114,202008.1624,17170.08877,22
8,CV,tit,H_titia,109.1443061,35.81006805,90.73344896,46.29864332,100.3207556,39.8276381,169.9778668,30.80922911,470.1763774,146.436346,25,4184.63881,1275.124334,2367.22538,2883.703645,1785.530091,1639.894485,3459.106246,1190.740591,4070.478108,3527.181159,7940.789172,1210.082049,69345.36608,54304.67075,25
9,ES,oc,H_occisa,197.1010354,12.51378599,210.872883,13.22586066,201.2847427,13.99030095,217.5464932,14.33700427,826.8051542,52.4080391,36,6057.733272,1109.223254,11914.30483,1022.337462,9883.469827,1272.346658,6850.922474,1311.017925,13089.77958,1344.125443,11447.97936,1078.055615,234272.7802,19540.42274,27
10,ES,sem,H_sempronia,204.3103567,10.73358417,216.8349357,10.89944521,205.8434379,10.38209215,221.0465573,9.515872777,848.0352876,38.97033209,25,4554.024092,847.0847,11703.94681,1802.418428,8098.060661,2217.672522,5020.421619,848.899555,12004.42239,870.5212641,8799.884464,2629.861849,216139.3444,25554.8762,7
