id,male.sp,site,female.treatment,clasp,sympatric,wing.darkening,translocation
ywgbc,americana,cv,am,1,1,1,0
ywgbc,americana,cv,dw,0,1,1,0
ggvyc,americana,cv,am,1,1,1,0
ggvyc,americana,cv,dw,0,1,1,0
byyvc,americana,cv,am,1,1,1,0
byyvc,americana,cv,dw,0,1,1,0
yggwc,americana,cv,am,1,1,1,0
yggwc,americana,cv,dw,1,1,1,0
gwvvc,americana,cv,am,1,1,1,0
gwvvc,americana,cv,dw,0,1,1,0
gyvvc,americana,cv,am,1,1,1,0
gyvvc,americana,cv,dw,1,1,1,0
yowoc,americana,cv,am,1,1,1,0
yowoc,americana,cv,dw,0,1,1,0
ybwvc,americana,cv,am,1,1,1,0
ybwvc,americana,cv,dw,1,1,1,0
gyyvc,americana,cv,am,1,1,1,0
gyyvc,americana,cv,dw,0,1,1,0
bgwgc,americana,cv,am,0,1,1,0
bgwgc,americana,cv,dw,0,1,1,0
yvwvc,americana,cv,am,1,1,1,0
yvwvc,americana,cv,dw,0,1,1,0
ygvbc,americana,cv,am,0,1,1,0
ygvbc,americana,cv,dw,0,1,1,0
voboc,americana,cv,am,1,1,1,0
voboc,americana,cv,dw,1,1,1,0
bwbwc,americana,cv,am,0,1,1,0
bwbwc,americana,cv,dw,0,1,1,0
vogyc,americana,cv,am,1,1,1,0
vogyc,americana,cv,dw,1,1,1,0
yvoyc,americana,cv,am,1,1,1,0
yvoyc,americana,cv,dw,1,1,1,0
gwgbc,americana,cv,am,1,1,1,0
gwgbc,americana,cv,dw,1,1,1,0
ywboc,americana,cv,am,1,1,1,0
ywboc,americana,cv,dw,1,1,1,0
bbggc,americana,cv,am,1,1,1,0
bbggc,americana,cv,dw,1,1,1,0
bvwoc,americana,cv,am,1,1,1,0
bvwoc,americana,cv,dw,0,1,1,0
gvyyc,americana,cv,am,1,1,1,0
gvyyc,americana,cv,dw,0,1,1,0
ygvgc,americana,cv,am,1,1,1,0
ygvgc,americana,cv,dw,0,1,1,0
bvbgc,americana,cv,am,0,1,1,0
bvbgc,americana,cv,dw,1,1,1,0
bbvwl,americana,lm,am,1,0,1,0
bbvwl,americana,lm,dw,1,0,1,0
bygol,americana,lm,am,1,0,1,0
bygol,americana,lm,dw,1,0,1,0
gyyvl,americana,lm,am,1,0,1,0
gyyvl,americana,lm,dw,1,0,1,0
bwool,americana,lm,am,1,0,1,0
bwool,americana,lm,dw,0,0,1,0
ybwgl,americana,lm,am,0,0,1,0
ybwgl,americana,lm,dw,1,0,1,0
ybbwl,americana,lm,am,1,0,1,0
ybbwl,americana,lm,dw,0,0,1,0
bwowl,americana,lm,am,1,0,1,0
bwowl,americana,lm,dw,0,0,1,0
yoowl,americana,lm,am,1,0,1,0
yoowl,americana,lm,dw,0,0,1,0
gvbvl,americana,lm,am,1,0,1,0
gvbvl,americana,lm,dw,0,0,1,0
ywgbl,americana,lm,am,1,0,1,0
ywgbl,americana,lm,dw,0,0,1,0
vyovl,americana,lm,am,1,0,1,0
vyovl,americana,lm,dw,0,0,1,0
vogol,americana,lm,am,0,0,1,0
vogol,americana,lm,dw,1,0,1,0
gbvwl,americana,lm,am,1,0,1,0
gbvwl,americana,lm,dw,0,0,1,0
