dist,fst,sample1,sample2,same.drainage
493.123,0.066,1,2,0
95.419,0.132,1,3,0
561.002,0.205,2,3,0
106.672,0.079,1,4,0
546.062,0.140,2,4,0
31.984,0.028,3,4,0
278.027,0.254,1,5,0
640.720,0.340,2,5,0
193.238,0.045,3,5,0
172.097,0.089,4,5,0
497.954,0.366,1,6,0
410.827,0.426,2,6,0
494.716,0.108,3,6,0
463.957,0.165,4,6,0
432.970,0.054,5,6,0
1646.115,0.398,1,7,0
1893.506,0.495,2,7,0
1555.901,0.209,3,7,0
1539.478,0.273,4,7,0
1368.860,0.245,5,7,0
1495.577,0.310,6,7,0
1647.744,0.305,1,8,0
1894.206,0.392,2,8,0
1557.602,0.154,3,8,0
1541.114,0.208,4,8,0
1370.440,0.194,5,8,0
1496.036,0.277,6,8,0
3.977,0.077,7,8,1
1664.365,0.393,1,9,0
1903.854,0.487,2,9,0
1574.754,0.194,3,9,0
1557.799,0.260,4,9,0
1386.747,0.219,5,9,0
1503.922,0.292,6,9,0
35.323,0.040,7,9,1
31.374,0.078,8,9,1
1722.474,0.360,1,10,0
1937.070,0.465,2,10,0
1634.906,0.183,3,10,0
1616.367,0.246,4,10,0
1444.455,0.213,5,10,0
1531.989,0.303,6,10,0
146.494,0.048,7,10,1
142.534,0.049,8,10,1
111.183,0.033,9,10,1
1887.053,0.403,1,11,0
2035.757,0.496,2,11,0
1805.764,0.206,3,11,0
1783.621,0.274,4,11,0
1612.550,0.234,5,11,0
1624.935,0.286,6,11,0
445.429,0.068,7,11,0
441.456,0.131,8,11,0
410.200,0.063,9,11,0
299.181,0.101,10,11,0
1341.161,0.394,1,12,0
1330.566,0.494,2,12,0
1286.341,0.252,3,12,0
1256.645,0.313,4,12,0
1111.647,0.285,5,12,0
938.550,0.333,6,12,0
932.520,0.301,7,12,0
930.494,0.324,8,12,0
918.572,0.244,9,12,0
879.298,0.282,10,12,0
820.747,0.135,11,12,0
1333.368,0.379,1,13,0
1261.954,0.469,2,13,0
1288.950,0.248,3,13,0
1257.950,0.308,4,13,0
1127.421,0.288,5,13,0
891.657,0.346,6,13,0
1098.421,0.280,7,13,0
1096.439,0.321,8,13,0
1084.815,0.277,9,13,0
1045.429,0.298,10,13,0
975.449,0.162,11,13,0
166.427,0.041,12,13,1
1322.791,0.401,1,14,0
1280.901,0.502,2,14,0
1273.446,0.259,3,14,0
1242.981,0.320,4,14,0
1105.500,0.292,5,14,0
898.710,0.341,6,14,0
1020.755,0.304,7,14,0
1018.794,0.328,8,14,0
1007.380,0.251,9,14,0
969.276,0.288,10,14,0
907.647,0.138,11,14,0
90.149,0.006,12,14,1
77.913,0.037,13,14,1
